ID,Name,Activity,Start,Finish,PGMA,System,MU
,Civil agency for Chimney,OTH,2022-11-25,2023-04-09,,Award of Sub-Contracts by PS-RegionCivil,PSWR
,NIT,ENQ,2022-11-25,2022-11-25,,Award of Sub-Contracts by PS-RegionCivil agency for Chimney,PSWR
,LOI,ORD,2022-11-26,2023-02-03,,Award of Sub-Contracts by PS-RegionCivil agency for Chimney,PSWR
,MOBILIZATION BY AGENCY AT SITE,ORD,2023-03-21,2023-04-09,,Award of Sub-Contracts by PS-RegionCivil agency for Chimney,PSWR
,Civil- FGD buildings (LHP+GHP etc) + Levelling & Grading+ Below ground dismantling work,OTH,2023-04-24,2023-09-06,,Award of Sub-Contracts by PS-RegionCivil,PSWR
,NIT,ENQ,2023-04-24,2023-04-24,,Award of Sub-Contracts by PS-RegionCivil- FGD buildings LHP+GHP etc + Levelling & Grading+ Below ground dismantling work,PSWR
,LOI,ORD,2023-04-25,2023-07-03,,Award of Sub-Contracts by PS-RegionCivil- FGD buildings LHP+GHP etc + Levelling & Grading+ Below ground dismantling work,PSWR
,MOBILIZATION BY AGENCY AT SITE,ORD,2023-08-18,2023-09-06,,Award of Sub-Contracts by PS-RegionCivil- FGD buildings LHP+GHP etc + Levelling & Grading+ Below ground dismantling work,PSWR
,Mechanical,OTH,2023-03-25,2024-07-27,,Award of Sub-Contracts by PS-RegionAward of Sub-Contracts by PS-Region,
,"Mechanical ? Boiler, Aux Boiler & Bunker",OTH,2023-06-03,2023-09-21,,Award of Sub-Contracts by PS-RegionMechanical,PSWR
,NIT,ENQ,2023-06-03,2023-06-03,,"Award of Sub-Contracts by PS-RegionMechanical ? Boiler, Aux Boiler & Bunker",PSWR
,LOI,ORD,2023-06-04,2023-09-01,,"Award of Sub-Contracts by PS-RegionMechanical ? Boiler, Aux Boiler & Bunker",PSWR
,MOBILIZATION BY AGENCY AT SITE,ORD,2023-09-02,2023-09-21,,"Award of Sub-Contracts by PS-RegionMechanical ? Boiler, Aux Boiler & Bunker",PSWR
,Mechanical ? ESP & FGD,OTH,2023-07-08,2023-10-26,,Award of Sub-Contracts by PS-RegionMechanical,PSWR
,NIT,ENQ,2023-07-08,2023-07-08,,Award of Sub-Contracts by PS-RegionMechanical ? ESP & FGD,PSWR
,LOI,ORD,2023-07-09,2023-10-06,,Award of Sub-Contracts by PS-RegionMechanical ? ESP & FGD,PSWR
,MOBILIZATION BY AGENCY AT SITE,ORD,2023-10-07,2023-10-26,,Award of Sub-Contracts by PS-RegionMechanical ? ESP & FGD,PSWR
, Power Cycle Piping ,OTH,2024-02-08,2024-07-27,,Award of Sub-Contracts by PS-RegionMechanical,PSWR
,NIT,ENQ,2024-02-08,2024-02-08,,Award of Sub-Contracts by PS-Region Power Cycle Piping ,PSWR
,LOI,ORD,2024-02-09,2024-07-07,,Award of Sub-Contracts by PS-Region Power Cycle Piping ,PSWR
,MOBILIZATION BY AGENCY AT SITE,ORD,2024-07-08,2024-07-27,,Award of Sub-Contracts by PS-Region Power Cycle Piping ,PSWR
,Steam Turbine & Generator,OTH,2024-02-09,2024-05-29,,Award of Sub-Contracts by PS-RegionMechanical,PSWR
,NIT,ENQ,2024-02-09,2024-02-09,,Award of Sub-Contracts by PS-RegionSteam Turbine & Generator,PSWR
,LOI,ORD,2024-02-10,2024-05-09,,Award of Sub-Contracts by PS-RegionSteam Turbine & Generator,PSWR
,MOBILIZATION BY AGENCY AT SITE,ORD,2024-05-10,2024-05-29,,Award of Sub-Contracts by PS-RegionSteam Turbine & Generator,PSWR
,Structure:- Power House,OTH,2023-03-25,2023-06-13,,Award of Sub-Contracts by PS-RegionMechanical,PSWR
,NIT,ENQ,2023-03-25,2023-03-25,,Award of Sub-Contracts by PS-RegionStructure:- Power House,PSWR
,LOI,ORD,2023-03-26,2023-05-24,,Award of Sub-Contracts by PS-RegionStructure:- Power House,PSWR
,MOBILIZATION BY AGENCY AT SITE,ORD,2023-05-25,2023-06-13,,Award of Sub-Contracts by PS-RegionStructure:- Power House,PSWR
,Structure:- CHP,OTH,2023-08-22,2023-11-10,,Award of Sub-Contracts by PS-RegionMechanical,PSWR
,NIT,ENQ,2023-08-22,2023-08-22,,Award of Sub-Contracts by PS-RegionStructure:- CHP,PSWR
,LOI,ORD,2023-08-23,2023-10-21,,Award of Sub-Contracts by PS-RegionStructure:- CHP,PSWR
,MOBILIZATION BY AGENCY AT SITE,ORD,2023-10-22,2023-11-10,,Award of Sub-Contracts by PS-RegionStructure:- CHP,PSWR
,Structure:- FGD+AHP+Pipe Rack,OTH,2023-11-30,2024-02-18,,Award of Sub-Contracts by PS-RegionMechanical,PSWR
,NIT,ENQ,2023-11-30,2023-11-30,,Award of Sub-Contracts by PS-RegionStructure:- FGD+AHP+Pipe Rack,PSWR
,LOI,ORD,2023-12-01,2024-01-29,,Award of Sub-Contracts by PS-RegionStructure:- FGD+AHP+Pipe Rack,PSWR
,MOBILIZATION BY AGENCY AT SITE,ORD,2024-01-30,2024-02-18,,Award of Sub-Contracts by PS-RegionStructure:- FGD+AHP+Pipe Rack,PSWR
,Electrical & Cabling Pkg ,OTH,2024-06-28,2024-10-16,,Award of Sub-Contracts by PS-RegionAward of Sub-Contracts by PS-Region,
,NIT,ENQ,2024-06-28,2024-06-28,,Award of Sub-Contracts by PS-RegionElectrical & Cabling Pkg ,PSWR
,LOI,ORD,2024-06-29,2024-09-26,,Award of Sub-Contracts by PS-RegionElectrical & Cabling Pkg ,PSWR
,MOBILIZATION BY AGENCY AT SITE,ORD,2024-09-27,2024-10-16,,Award of Sub-Contracts by PS-RegionElectrical & Cabling Pkg ,PSWR
,C&I Pkg ,OTH,2024-07-28,2024-11-15,,Award of Sub-Contracts by PS-RegionAward of Sub-Contracts by PS-Region,
,NIT,ENQ,2024-07-28,2024-07-28,,Award of Sub-Contracts by PS-RegionC&I Pkg ,PSWR
,LOI,ORD,2024-07-29,2024-10-26,,Award of Sub-Contracts by PS-RegionC&I Pkg ,PSWR
,MOBILIZATION BY AGENCY AT SITE,ORD,2024-10-27,2024-11-15,,Award of Sub-Contracts by PS-RegionC&I Pkg ,PSWR
,Topographical Survey and Soil Investigation,OTH,2022-09-27,2022-10-26,,Topographical Survey and Soil Investigation,
,Topographical Survey and Soil Investigation: Work COMPLETION and Report Submission,ENG,2022-09-27,2022-10-26,,Topographical Survey and Soil Investigation,
,Development of Site Infrastructure,OTH,2022-09-27,2025-10-31,,Development of Site Infrastructure,
,Mobilization of site levelling agency at site and commencement of site levelling works including dismantling activities ,Mobilization,2023-01-25,2023-03-25,,Development of Site Infrastructure,
,Completion of Site Levelling,OTH,2023-04-25,2023-07-23,,Development of Site Infrastructure,
,Readiness of Priority Roads  including Drains ,OTH,2023-05-25,2024-01-19,,Development of Site Infrastructure,
,Readiness of External Drain for evacuation of plant area drainage ,OTH,2023-03-26,2023-11-20,,Development of Site Infrastructure,
,Readiness of area lighting in Plant ,OTH,2023-03-26,2023-09-21,,Development of Site Infrastructure,
,Readiness of Temporary office of BHEL,OTH,2022-09-27,2022-11-25,,Development of Site Infrastructure,
,Readiness of BHEL office ,OTH,2022-09-27,2023-05-24,,Development of Site Infrastructure,
,Readiness of Safety Control Room & Site office of NTPC,OTH,2023-06-23,2023-06-23,,Development of Site Infrastructure,
,"Readiness of Storage and Preassembly yard with Hard crusting, Roads & Drains etc. as per priority requirement of project ",OTH,2023-03-26,2023-12-20,,Development of Site Infrastructure,
,Establishment of workers habitat in phased manner ,OTH,2022-12-26,2024-05-18,,Development of Site Infrastructure,
,Dismantling,CIV,2022-12-21,2025-10-31,,Development of Site Infrastructure,PSWR
,Dismantling of existing raw material reservoirs,CIV,2025-04-15,2025-10-31,,Development of Site Infrastructure,PSWR
,Dismantling of super structure ,CIV,2022-12-21,2023-07-08,,Development of Site Infrastructure,PSWR
,Boiler & Auxiliaries,OTH,2022-09-27,2026-05-28,,Boiler,
,Boiler Structure,OTH,2022-09-27,2026-04-30,,Boiler,
,Basic engineering,OTH,2022-10-27,2023-02-23,,Boiler,
,Supply (BHEL TRY),OTH,2022-09-27,2025-11-10,,Boiler,
,Main Boiler supporting structure (PG-35),OTH,2022-09-27,2024-03-11,PG35,Boiler,TRY
,FOUNDATION MATERIALS- (PGMA-35011),OTH,2022-10-27,2023-05-27,35011,Boiler,
,Engineering,ENG,2022-10-27,2023-01-19,35011,Boiler,TRY
,Manufacturing,MFG,2023-01-20,2023-04-27,35011,Boiler,TRY
,Dispatch,DIS,2023-03-29,2023-05-27,35011,Boiler,TRY
,MAIN COLUMNS LEFT 1ST PASS (PGMA-35111),OTH,2022-10-27,2023-09-10,35111,Boiler,
,Engineering,ENG,2022-10-27,2023-05-08,35111,Boiler,TRY
,Manufacturing,MFG,2023-02-18,2023-06-27,35111,Boiler,TRY
,Dispatch,DIS,2023-06-28,2023-09-10,35111,Boiler,TRY
,MAIN COLUMNS LEFT 2ND PASS (PGMA-35112),OTH,2022-10-27,2023-09-10,35112,Boiler,
,Engineering,ENG,2022-10-27,2023-05-08,35112,Boiler,TRY
,Manufacturing,MFG,2023-02-18,2023-06-27,35112,Boiler,TRY
,Dispatch,DIS,2023-06-28,2023-09-10,35112,Boiler,TRY
,MAIN COLUMNS RIGHT 1ST PASS (PGMA-35121),OTH,2022-10-27,2023-09-25,35121,Boiler,
,Engineering,ENG,2022-10-27,2023-05-08,35121,Boiler,TRY
,Manufacturing,MFG,2023-02-18,2023-06-27,35121,Boiler,TRY
